created_at,full_text,image_url,lang,location,username,caseFolded_fullText,cleaning,matched_keyword,lintang,bujur,sumber,norm,stopwords,tokenized,stemmed,translated,score_vader,klasifikasi_vader,
Wed May 31 13:20:00 +0000 2023, halo guysâ€¼ï¸niatku sekitar bulan juli mau pergi liburan ke jogja sama temen temen. btw kita naik kereta jadi engga pakai kendaraan pribadi. kira kira tempat di jogja yang harus dikunjungi selain malioboro dimana yaa? terimakasii yang sudah beri saran ^^,,in,Indonesia,tanyakanrl, halo guysâ€¼ï¸niatku sekitar bulan juli mau pergi liburan ke jogja sama temen temen. btw kita naik kereta jadi engga pakai kendaraan pribadi. kira kira tempat di jogja yang harus dikunjungi selain malioboro dimana yaa? terimakasii yang sudah beri saran ^^,halo guysniatku sekitar bulan juli mau pergi liburan ke jogja sama temen temen btw kita naik kereta jadi engga pakai kendaraan pribadi kira kira tempat di jogja yang harus dikunjungi selain malioboro dimana yaa terimakasii yang sudah beri saran,malioboro,-7.792646,110.365871,dinpar diy 2023,halo guysniatku sekitar bulan juli mau pergi liburan ke jogja sama temen temen btw kita naik kereta jadi engga pakai kendaraan pribadi kira kira tempat di jogja yang harus dikunjungi selain malioboro dimana yaa terimakasii yang sudah beri saran,halo guysniatku bulan juli mau pergi liburan jogja sama temen temen btw naik kereta jadi engga pakai kendaraan pribadi kira kira tempat jogja harus dikunjungi malioboro yaa terimakasii sudah beri saran,"['halo', 'guysniatku', 'bulan', 'juli', 'mau', 'pergi', 'liburan', 'jogja', 'sama', 'temen', 'temen', 'btw', 'naik', 'kereta', 'jadi', 'engga', 'pakai', 'kendaraan', 'pribadi', 'kira', 'kira', 'tempat', 'jogja', 'harus', 'dikunjungi', 'malioboro', 'yaa', 'terimakasii', 'sudah', 'beri', 'saran']",halo guysniatku bulan juli mau pergi libur jogja sama temen temen btw naik kereta jadi engga pakai kendara pribadi kira kira tempat jogja harus kunjung malioboro yaa terimakasii sudah beri saran,"Hello guysniatku in July I want to go on a Jogja holiday with friends btw btw riding the train so you don't use a private vehicle, approximately the place of jogja must visit Malioboro, yes, thank you for giving suggestions",0.9136,Positive,
Thu Jul 20 13:51:08 +0000 2023,@haniasworld Halo kak hania salam kenal ya Aku ijin ikutan giveawaynya makasih udah bikin giveaway ini. Aku pengen banget ke jogja banyak banget tempat wisata yang pengen aku kunjungin di jogja terutama malioboro kayaknya asik bgt jalan di malioboro pas m,,in,,onyourf__by,@haniasworld halo kak hania salam kenal ya aku ijin ikutan giveawaynya makasih udah bikin giveaway ini. aku pengen banget ke jogja banyak banget tempat wisata yang pengen aku kunjungin di jogja terutama malioboro kayaknya asik bgt jalan di malioboro pas m,halo kak hania salam kenal ya aku ijin ikutan giveawaynya makasih udah bikin giveaway ini aku pengen banget ke jogja banyak banget tempat wisata yang pengen aku kunjungin di jogja terutama malioboro kayaknya asik bgt jalan di malioboro pas m,malioboro,-7.792646,110.365871,dinpar diy 2023,halo kak hania salam kenal ya aku ijin ikutan giveawaynya makasih udah bikin giveaway ini aku pengen banget ke jogja banyak banget tempat wisata yang pengen aku kunjungin di jogja terutama malioboro kayaknya asik banget jalan di malioboro pas m,halo kak hania salam kenal aku ijin ikutan giveawaynya makasih udah bikin giveaway aku pengen banget jogja banyak banget tempat wisata pengen aku kunjungin jogja terutama malioboro kayaknya asik bgt jalan malioboro pas m,"['halo', 'kak', 'hania', 'salam', 'kenal', 'aku', 'ijin', 'ikutan', 'giveawaynya', 'makasih', 'udah', 'bikin', 'giveaway', 'aku', 'pengen', 'banget', 'jogja', 'banyak', 'banget', 'tempat', 'wisata', 'pengen', 'aku', 'kunjungin', 'jogja', 'terutama', 'malioboro', 'kayaknya', 'asik', 'bgt', 'jalan', 'malioboro', 'pas', 'm']",halo kak hania salam kenal aku ijin ikut giveawaynya makasih udah bikin giveaway aku ken banget jogja banyak banget tempat wisata ken aku kunjungin jogja utama malioboro kayak asik bgt jalan malioboro pas m,"Hello sis Hania nice to meet me permission to join the giveaway, thanks for making a giveaway I really ken jogja lots of tourist attractions Ken I visited Jogja Utama Malioboro like the fun of Malioboro Street when M.",0.9382,Positive,
Thu Jun 01 19:34:04 +0000 2023,@anisharahma Halo kak mau kasih rekomendasi pantai kalo berkunjung ke jogja kembali - Pantai ngitun - Pantai watulawang - Pantai wohkudu - Pantai seruni,,in,,Naufall91,@anisharahma halo kak mau kasih rekomendasi pantai kalo berkunjung ke jogja kembali - pantai ngitun - pantai watulawang - pantai wohkudu - pantai seruni,halo kak mau kasih rekomendasi pantai kalo berkunjung ke jogja kembali  pantai ngitun  pantai watulawang  pantai wohkudu  pantai seruni,pantai seruni,-8.159907,110.631575,visit jogja,halo kak mau kasih rekomendasi pantai kalo berkunjung ke jogja kembali  pantai ngitun  pantai watulawang  pantai wohkudu  pantai seruni,halo kak mau kasih rekomendasi pantai kalo berkunjung jogja  pantai ngitun  pantai watulawang  pantai wohkudu  pantai seruni,"['halo', 'kak', 'mau', 'kasih', 'rekomendasi', 'pantai', 'kalo', 'berkunjung', 'jogja', 'pantai', 'ngitun', 'pantai', 'watulawang', 'pantai', 'wohkudu', 'pantai', 'seruni']",halo kak mau kasih rekomendasi pantai kalo kunjung jogja pantai ngitun pantai watulawang pantai wohkudu pantai seruni,hello sis want to give a beach recommendation if the jogja jogja beach ngitun beach watulawang beach wohkudu beach seruni,0.0772,Positive,
Wed May 10 22:55:00 +0000 2023, Haloo..yang ada rekomendasi penginapan/homestay/guesthouse di jogja yg harganya under 150k/mlm buat liburan bareng bestie (kapasitas 3-5 orang) yang masih sekitar stasiun tugu/lempungan dan malioboro boleh dong TIA,,in,Indonesia,tanyakanrl, haloo..yang ada rekomendasi penginapan/homestay/guesthouse di jogja yg harganya under 150k/mlm buat liburan bareng bestie (kapasitas 3-5 orang) yang masih sekitar stasiun tugu/lempungan dan malioboro boleh dong tia,halooyang ada rekomendasi penginapanhomestayguesthouse di jogja yg harganya under kmlm buat liburan bareng bestie kapasitas  orang yang masih sekitar stasiun tugulempungan dan malioboro boleh dong tia,malioboro,-7.792646,110.365871,dinpar diy 2023,halooyang ada rekomendasi penginapanhomestayguesthouse di jogja yang harganya under kmlm buat liburan bareng bestie kapasitas  orang yang masih sekitar stasiun tugulempungan dan malioboro boleh dong tia,halooyang rekomendasi penginapanhomestayguesthouse jogja yg harganya under kmlm buat liburan bareng bestie kapasitas  orang masih stasiun tugulempungan malioboro dong tia,"['halooyang', 'rekomendasi', 'penginapanhomestayguesthouse', 'jogja', 'yg', 'harganya', 'under', 'kmlm', 'buat', 'liburan', 'bareng', 'bestie', 'kapasitas', 'orang', 'masih', 'stasiun', 'tugulempungan', 'malioboro', 'dong', 'tia']",halooyang rekomendasi penginapanhomestayguesthouse jogja yg harga under kmlm buat libur bareng bestie kapasitas orang masih stasiun tugulempungan malioboro dong tia,HALOANGANG RECOMMENDATION OF JOGJA GUESTHOUSE HOMESTHOUSTHOUSE Lodging which is the price of Under Night for Holidays with Bestie Capacity of People Still Tugulpungan Malioboro Dong Tia Station Station,0.7096,Positive,
Tue Nov 14 18:10:19 +0000 2023,@tanyarlfes 1. Hampir keseret ombak di pantai krakal jogja untuk pegang batu karang 2. Sehabis mandi dada kiri kayak ditusuk langsung ambruk dan tidak bisa bergerak beberapa detik 3. Jatuh dari motor di belakang mobil yang untungnya langsung rem mendadak sampai bunyi,,in,,lucidmedal,@tanyarlfes 1. hampir keseret ombak di pantai krakal jogja untuk pegang batu karang 2. sehabis mandi dada kiri kayak ditusuk langsung ambruk dan tidak bisa bergerak beberapa detik 3. jatuh dari motor di belakang mobil yang untungnya langsung rem mendadak sampai bunyi,hampir keseret ombak di pantai krakal jogja untuk pegang batu karang  sehabis mandi dada kiri kayak ditusuk langsung ambruk dan tidak bisa bergerak beberapa detik  jatuh dari motor di belakang mobil yang untungnya langsung rem mendadak sampai bunyi,pantai krakal,-8.145102,110.598801,visit jogja,hampir keseret ombak di pantai krakal jogja untuk pegang batu karang  sehabis mandi dada kiri kayak ditusuk langsung ambruk dan tidak bisa bergerak beberapa detik  jatuh dari motor di belakang mobil yang untungnya langsung rem mendadak sampai bunyi,hampir keseret ombak pantai krakal jogja pegang batu karang  sehabis mandi dada kiri kayak ditusuk langsung ambruk tidak bergerak beberapa detik  jatuh motor belakang mobil untungnya langsung rem mendadak bunyi,"['hampir', 'keseret', 'ombak', 'pantai', 'krakal', 'jogja', 'pegang', 'batu', 'karang', 'sehabis', 'mandi', 'dada', 'kiri', 'kayak', 'ditusuk', 'langsung', 'ambruk', 'tidak', 'bergerak', 'beberapa', 'detik', 'jatuh', 'motor', 'belakang', 'mobil', 'untungnya', 'langsung', 'rem', 'mendadak', 'bunyi']",hampir seret ombak pantai krakal jogja pegang batu karang habis mandi dada kiri kayak tusuk langsung ambruk tidak gerak beberapa detik jatuh motor belakang mobil untung langsung rem dadak bunyi,"Almost drag the waves of Krakal Jogja beach holding the rock after bathing the left chest like a stab immediately collapsed not to move a few seconds falling down the motorbike behind the car, the brakes immediately the sound of the sound",-0.6815,Negative,
Sun Aug 13 01:59:26 +0000 2023,Happy Sunday ï¸ Ayo kita main-main ke Jogja! Banyak destinasi wisata dan kuliner yang bisa kalian coba nihh Salah satunya ada pada video di bawah ini Taman Sari Water Castle https://t.co/5NTkPWob94,https://pbs.twimg.com/ext_tw_video_thumb/1690543410145607680/pu/img/dCxUAwiXsE47FohW.jpg,in,Lotus Mio Bangunjiwo,LotusMio,happy sunday ï¸ ayo kita main-main ke jogja! banyak destinasi wisata dan kuliner yang bisa kalian coba nihh salah satunya ada pada video di bawah ini taman sari water castle https://t.co/5ntkpwob94,happy sunday  ayo kita mainmain ke jogja banyak destinasi wisata dan kuliner yang bisa kalian coba nihh salah satunya ada pada video di bawah ini taman sari water castle,taman sari,-7.809979,110.358991,visit jogja,happy sunday  ayo kita mainmain ke jogja banyak destinasi wisata dan kuliner yang bisa kalian coba nihh salah satunya ada pada video di bawah ini taman sari water castle,happy sunday  ayo mainmain jogja banyak destinasi wisata kuliner bisa kalian coba nihh salah satunya pada video bawah taman sari water castle,"['happy', 'sunday', 'ayo', 'mainmain', 'jogja', 'banyak', 'destinasi', 'wisata', 'kuliner', 'bisa', 'kalian', 'coba', 'nihh', 'salah', 'satunya', 'pada', 'video', 'bawah', 'taman', 'sari', 'water', 'castle']",happy sunday ayo mainmain jogja banyak destinasi wisata kuliner bisa kalian coba nihh salah satu pada video bawah taman sari water castle,"Happy Sunday, let's play Jogja, many culinary tourism destinations you can try, one of the videos under Taman Sari Water Castle",0.7269,Positive,
Wed Jan 04 04:26:48 +0000 2023,3 Hari 2 Malam Wisata di Jogja. Untuk 3 Orang Berikut ini lokasinya: - Hutan Pinus - Pantai Pasir Putih - Candi Prambanan - Heha Ocean View - Taman Sari - Kaliurang - Bakpia - Dagadu *Rp 3.768.000* untuk 3 orang selama 3 hari 2 malam 085841672229 yt(channel folder) https://t.co/GDjBuLQGY8,https://pbs.twimg.com/media/Flmexl4acAA4e87.jpg,in,"Yogyakarta, Indonesia",candrafolder,3 hari 2 malam wisata di jogja. untuk 3 orang berikut ini lokasinya: - hutan pinus - pantai pasir putih - candi prambanan - heha ocean view - taman sari - kaliurang - bakpia - dagadu *rp 3.768.000* untuk 3 orang selama 3 hari 2 malam 085841672229 yt(channel folder) https://t.co/gdjbulqgy8,hari  malam wisata di jogja untuk  orang berikut ini lokasinya  hutan pinus  pantai pasir putih  candi prambanan  heha ocean view  taman sari  kaliurang  bakpia  dagadu rp  untuk  orang selama  hari  malam  ytchannel folder,candi prambanan,-7.752021,110.491467,visit jogja,hari  malam wisata di jogja untuk  orang berikut ini lokasinya  hutan pinus  pantai pasir putih  candi prambanan  heha ocean view  taman sari  kaliurang  bakpia  dagadu rp  untuk  orang selama  hari  malam  ytchannel folder,hari  malam wisata jogja  orang berikut lokasinya  hutan pinus  pantai pasir putih  candi prambanan  heha ocean view  taman sari  kaliurang  bakpia  dagadu rp   orang selama  hari  malam  ytchannel folder,"['hari', 'malam', 'wisata', 'jogja', 'orang', 'berikut', 'lokasinya', 'hutan', 'pinus', 'pantai', 'pasir', 'putih', 'candi', 'prambanan', 'heha', 'ocean', 'view', 'taman', 'sari', 'kaliurang', 'bakpia', 'dagadu', 'rp', 'orang', 'selama', 'hari', 'malam', 'ytchannel', 'folder']",hari malam wisata jogja orang ikut lokasi hutan pinus pantai pasir putih candi prambanan heha ocean view taman sari kaliurang bakpia dagadu rp orang lama hari malam ytchannel folder,Jogja Tourism Night People Join the location of the Pine Pinus Pantai Putih Prambanan Prambanan Heha Ocean View Taman Sari Kaliurang Bakpia Dagadu Rp. Long Night Ytchannel Folder,0.296,Positive,
Tue Feb 21 13:55:35 +0000 2023,2 Hari Berturut-turut Wisatawan Terseret Arus Pantai Parangtritis https://t.co/VSnULEaXtL #beritajogja #jogja #jogjaistimewa https://t.co/mV55RKVlBL,https://pbs.twimg.com/media/FpftReJacAIFLnX.jpg,in,"Yogyakarta, Indonesia",Harian_Jogja,2 hari berturut-turut wisatawan terseret arus pantai parangtritis https://t.co/vsnuleaxtl #beritajogja #jogja #jogjaistimewa https://t.co/mv55rkvlbl,hari berturutturut wisatawan terseret arus pantai parangtritis,pantai parangtritis,-8.024608,110.329804,visit jogja,hari berturutturut wisatawan terseret arus pantai parangtritis,hari berturutturut wisatawan terseret arus pantai parangtritis,"['hari', 'berturutturut', 'wisatawan', 'terseret', 'arus', 'pantai', 'parangtritis']",hari berturutturut wisatawan seret arus pantai parangtritis,consecutive days participating tourists sequentially the flow of Parangtritis Beach Flow,0,Neutral,
Fri Mar 17 12:14:19 +0000 2023,Hari ini fenomena alam di jogja cukup lengkap dari badai kencang gunung merapi dan gempa. Rahayu ,,in,,gaaaaegaaaa,hari ini fenomena alam di jogja cukup lengkap dari badai kencang gunung merapi dan gempa. rahayu ,hari ini fenomena alam di jogja cukup lengkap dari badai kencang gunung merapi dan gempa rahayu,gunung merapi,-7.540716,110.445723,visit jogja,hari ini fenomena alam di jogja cukup lengkap dari badai kencang gunung merapi dan gempa rahayu,hari fenomena alam jogja cukup lengkap badai kencang gunung merapi gempa rahayu,"['hari', 'fenomena', 'alam', 'jogja', 'cukup', 'lengkap', 'badai', 'kencang', 'gunung', 'merapi', 'gempa', 'rahayu']",hari fenomena alam jogja cukup lengkap badai kencang gunung merapi gempa rahayu,Jogja Natural Phenomenon Day Complete Strong Mount Merapi Earthquake Rahayu,0.7003,Positive,
Sun Dec 31 08:46:06 +0000 2023,Hari Ini Jalur ke Pantai Parangtritis Satu Arah Cek Arah Keluarnya https://t.co/WuwhUbgzK8 #beritajogja #jogja #jogjaistimewa https://t.co/Ekz3J6BbUT,https://pbs.twimg.com/media/GCqgDvXboAACkmD.jpg,in,"Yogyakarta, Indonesia",Harian_Jogja,hari ini jalur ke pantai parangtritis satu arah cek arah keluarnya https://t.co/wuwhubgzk8 #beritajogja #jogja #jogjaistimewa https://t.co/ekz3j6bbut,hari ini jalur ke pantai parangtritis satu arah cek arah keluarnya,pantai parangtritis,-8.024608,110.329804,visit jogja,hari ini jalur ke pantai parangtritis satu arah cek arah keluarnya,hari jalur pantai parangtritis satu arah cek arah keluarnya,"['hari', 'jalur', 'pantai', 'parangtritis', 'satu', 'arah', 'cek', 'arah', 'keluarnya']",hari jalur pantai parangtritis satu arah cek arah keluar,Parangtritis Beach Day One -way check direction,0,Neutral,
Wed May 03 01:40:48 +0000 2023,Hari ini saya ajak bertamasya ke jogja tujuan kali ini ke Hutan Pinus Becici Seribu Batu Songgo Langit Pantai Parangtritis penutupnya di Malioboro. Nanti saya update kan info tempatnya kalau sudah sampai ya. https://t.co/iZb8qnPcRg,https://pbs.twimg.com/media/FvKt832aYAA-0QF.jpg,in,"Wonogiri, Indonesia",mashan_id,hari ini saya ajak bertamasya ke jogja tujuan kali ini ke hutan pinus becici seribu batu songgo langit pantai parangtritis penutupnya di malioboro. nanti saya update kan info tempatnya kalau sudah sampai ya. https://t.co/izb8qnpcrg,hari ini saya ajak bertamasya ke jogja tujuan kali ini ke hutan pinus becici seribu batu songgo langit pantai parangtritis penutupnya di malioboro nanti saya update kan info tempatnya kalau sudah sampai ya,seribu batu,-7.930856,110.430884,dinpar diy 2023,hari ini saya ajak bertamasya ke jogja tujuan kali ini ke hutan pinus becici seribu batu songgo langit pantai parangtritis penutupnya di malioboro nanti saya update kan info tempatnya kalau sudah sampai ya,hari saya ajak bertamasya jogja tujuan kali ke hutan pinus becici seribu batu songgo langit pantai parangtritis penutupnya malioboro saya update kan info tempatnya kalau sampai,"['hari', 'saya', 'ajak', 'bertamasya', 'jogja', 'tujuan', 'kali', 'ke', 'hutan', 'pinus', 'becici', 'seribu', 'batu', 'songgo', 'langit', 'pantai', 'parangtritis', 'penutupnya', 'malioboro', 'saya', 'update', 'kan', 'info', 'tempatnya', 'kalau', 'sampai']",hari saya ajak tamasya jogja tuju kali ke hutan pinus becici ribu batu songgo langit pantai parangtritis tutup malioboro saya update kan info tempat kalau sampai,Day I invited Jogja's sightseeing to the Pine Forest Becici Thousand Batu Songgo Langit Parangtritis Beach Close Malioboro I updated the place of place if it arrived,0,Neutral,
Tue May 02 02:14:14 +0000 2023,hari ini selatanan naik dulu ke hutan pinus imogiri lanjut selopamioro hari terakhir di jogja ï¸ https://t.co/oBIAfki1KO,https://pbs.twimg.com/media/FvFr8NvaMAAWZZC.jpg,in,,ichanbadak,hari ini selatanan naik dulu ke hutan pinus imogiri lanjut selopamioro hari terakhir di jogja ï¸ https://t.co/obiafki1ko,hari ini selatanan naik dulu ke hutan pinus imogiri lanjut selopamioro hari terakhir di jogja,selopamioro,-7.94624,110.426616,dinpar diy 2023,hari ini selatanan naik dulu ke hutan pinus imogiri lanjut selopamioro hari terakhir di jogja,hari selatanan naik dulu hutan pinus imogiri lanjut selopamioro hari terakhir jogja,"['hari', 'selatanan', 'naik', 'dulu', 'hutan', 'pinus', 'imogiri', 'lanjut', 'selopamioro', 'hari', 'terakhir', 'jogja']",hari selatan naik dulu hutan pinus imogiri lanjut selopamioro hari akhir jogja,south day first ride the imogiri pine forest continued Selopamioro last day of Jogja,0,Neutral,
Sat Apr 22 11:16:02 +0000 2023,Hari Lebaran Kunjungan Wisatawan ke Pantai Parangtritis Sepi https://t.co/DUo2ezU9Yc,,in,"Yogyakarta, Indonesia",IDNTimesJogja,hari lebaran kunjungan wisatawan ke pantai parangtritis sepi https://t.co/duo2ezu9yc,hari lebaran kunjungan wisatawan ke pantai parangtritis sepi,pantai parangtritis,-8.024608,110.329804,visit jogja,hari lebaran kunjungan wisatawan ke pantai parangtritis sepi,hari lebaran kunjungan wisatawan pantai parangtritis sepi,"['hari', 'lebaran', 'kunjungan', 'wisatawan', 'pantai', 'parangtritis', 'sepi']",hari lebaran kunjung wisatawan pantai parangtritis sepi,Lebaran Day Visiting Parangtritis Beach Tourist,0,Neutral,
Fri Jun 09 08:36:33 +0000 2023,Hari rabu di pantai Timang GunungKidul Yogyakarta ðŸ‡®ðŸ‡© https://t.co/biI2j5P2g1,https://pbs.twimg.com/ext_tw_video_thumb/1667088217429131265/pu/img/Fm1iwxUvEqQ7Cb9y.jpg,in,"Yogyakarta, Indonesia",SewaMobilYogya,hari rabu di pantai timang gunungkidul yogyakarta ðŸ‡®ðŸ‡© https://t.co/bii2j5p2g1,hari rabu di pantai timang gunungkidul yogyakarta,pantai timang,-8.175917,110.662454,dinpar diy 2023,hari rabu di pantai timang gunungkidul yogyakarta,hari rabu pantai timang gunungkidul yogyakarta,"['hari', 'rabu', 'pantai', 'timang', 'gunungkidul', 'yogyakarta']",hari rabu pantai timang gunungkidul yogyakarta,Wednesday Beach Timang Gunungkidul Yogyakarta,0,Neutral,
Sat May 20 21:04:48 +0000 2023,Harmoni Alam di Bukit Cendana Jogja - https://t.co/HFMD3vF7RH,,in,contact  idbcpr@gmail.com,idbcpr,harmoni alam di bukit cendana jogja - https://t.co/hfmd3vf7rh,harmoni alam di bukit cendana jogja,bukit cendana,-7.82731,110.099884,visit jogja,harmoni alam di bukit cendana jogja,harmoni alam bukit cendana jogja,"['harmoni', 'alam', 'bukit', 'cendana', 'jogja']",harmoni alam bukit cendana jogja,Harmoni Alam Bukit Cendana Jogja,0,Neutral,
Tue Oct 24 09:59:35 +0000 2023,Hasil Uji Lab Pencemaran di Pantai Krakal dan Slili Gunungkidul Keluar Ini Penjelasan DLH https://t.co/ZFiqz9hU9k #beritajogja #jogja #jogjaistimewa https://t.co/vn4aYDrB9B,https://pbs.twimg.com/media/F9MkxLta0AAxvPP.jpg,in,"Yogyakarta, Indonesia",Harian_Jogja,hasil uji lab pencemaran di pantai krakal dan slili gunungkidul keluar ini penjelasan dlh https://t.co/zfiqz9hu9k #beritajogja #jogja #jogjaistimewa https://t.co/vn4aydrb9b,hasil uji lab pencemaran di pantai krakal dan slili gunungkidul keluar ini penjelasan dlh,pantai krakal,-8.145102,110.598801,visit jogja,hasil uji lab pencemaran di pantai krakal dan slili gunungkidul keluar ini penjelasan dlh,hasil uji lab pencemaran pantai krakal slili gunungkidul keluar penjelasan dlh,"['hasil', 'uji', 'lab', 'pencemaran', 'pantai', 'krakal', 'slili', 'gunungkidul', 'keluar', 'penjelasan', 'dlh']",hasil uji lab cemar pantai krakal slili gunungkidul keluar jelas dlh,The results of the Krakal Slili Gunungkidul coastal lab beach out.,0,Neutral,
Thu Jun 15 08:41:36 +0000 2023,@jogmfs Hati Coyy. Pantai gunung kidul banyak yg bagus dan sepi. Klo kmu tinggal di daerah jogja kota ke wonosari nya bisa naik bis tapi bkn trans jogja. Trs sampai di wonosari nya baru naik motor/sewa motor. Atau ga klo mau lumayan dkt ya di goa cemara cm ga sepi bgt si (di bantul).,,in,,jinnyLaparmen,@jogmfs hati coyy. pantai gunung kidul banyak yg bagus dan sepi. klo kmu tinggal di daerah jogja kota ke wonosari nya bisa naik bis tapi bkn trans jogja. trs sampai di wonosari nya baru naik motor/sewa motor. atau ga klo mau lumayan dkt ya di goa cemara cm ga sepi bgt si (di bantul).,hati coyy pantai gunung kidul banyak yg bagus dan sepi klo kmu tinggal di daerah jogja kota ke wonosari nya bisa naik bis tapi bkn trans jogja trs sampai di wonosari nya baru naik motorsewa motor atau ga klo mau lumayan dkt ya di goa cemara cm ga sepi bgt si di bantul,goa cemara,-7.999423,110.248963,visit jogja,hati coyy pantai gunung kidul banyak yang bagus dan sepi klo kmu tinggal di daerah jogja kota ke wonosari nya bisa naik bis tapi bkn trans jogja trs sampai di wonosari nya baru naik motorsewa motor atau ga klo mau lumayan dkt ya di goa cemara cuma ga sepi banget si di bantul,hati coyy pantai gunung kidul banyak yg bagus sepi klo kmu tinggal daerah jogja kota wonosari nya naik bis bkn trans jogja trs wonosari nya baru naik motorsewa motor ga klo mau lumayan dkt di goa cemara cm ga sepi bgt si di bantul,"['hati', 'coyy', 'pantai', 'gunung', 'kidul', 'banyak', 'yg', 'bagus', 'sepi', 'klo', 'kmu', 'tinggal', 'daerah', 'jogja', 'kota', 'wonosari', 'nya', 'naik', 'bis', 'bkn', 'trans', 'jogja', 'trs', 'wonosari', 'nya', 'baru', 'naik', 'motorsewa', 'motor', 'ga', 'klo', 'mau', 'lumayan', 'dkt', 'di', 'goa', 'cemara', 'cm', 'ga', 'sepi', 'bgt', 'si', 'di', 'bantul']",hati coyy pantai gunung kidul banyak yg bagus sepi klo kmu tinggal daerah jogja kota wonosari nya naik bis bkn trans jogja trs wonosari nya baru naik motorsewa motor ga klo mau lumayan dkt di goa cemara cm ga sepi bgt si di bantul,"Coyy Coyy Beach Gunung Kidul, a lot of good is quiet if you live in Jogja, the city of Wonosari takes the bus, bkn trans jogja, but the wonosari just rides the motorbike, not if you want to be pretty good",0.8679,Positive,
Fri Jan 13 18:23:54 +0000 2023,Healing kemana gaes.. Selamat berakhir pekan.. Loc. Bukit Bintang Watu Amben.#jogja https://t.co/Iblff4lgTg,https://pbs.twimg.com/ext_tw_video_thumb/1613964908718354435/pu/img/I4TF8l4kyqf2fvys.jpg,in,"Bantul, Indonesia",kecpiyungan1,healing kemana gaes.. selamat berakhir pekan.. loc. bukit bintang watu amben.#jogja https://t.co/iblff4lgtg,healing kemana gaes selamat berakhir pekan loc bukit bintang watu amben,bukit bintang,-7.845841,110.479846,visit jogja,healing kemana gaes selamat berakhir pekan loc bukit bintang watu amben,healing gaes selamat berakhir pekan loc bukit bintang watu amben,"['healing', 'gaes', 'selamat', 'berakhir', 'pekan', 'loc', 'bukit', 'bintang', 'watu', 'amben']",healing gaes selamat akhir pekan loc bukit bintang watu amben,Healing Gaes Happy weekend Loc Bukit Bintang Watu Amben,0.5719,Positive,
Sat Nov 25 07:22:09 +0000 2023,Healing sejenak di Hutan Pinus Pengger Bantul ya kan.. #hutanpinus #hutan #pinus #pengger #bantul #wisata #yogyakarta #jogjaistimewa #jogja https://t.co/R9ETMocBkM,https://pbs.twimg.com/media/F_wznE7aoAAWfHb.jpg,in,"Bantul, Yogyakarta",idihh8662,healing sejenak di hutan pinus pengger bantul ya kan.. #hutanpinus #hutan #pinus #pengger #bantul #wisata #yogyakarta #jogjaistimewa #jogja https://t.co/r9etmocbkm,healing sejenak di hutan pinus pengger bantul ya kan,pinus pengger,-7.871191,110.459542,dinpar diy 2023,healing sejenak di hutan pinus pengger bantul ya kan,healing sejenak hutan pinus pengger bantul kan,"['healing', 'sejenak', 'hutan', 'pinus', 'pengger', 'bantul', 'kan']",healing jenak hutan pinus pengger bantul kan,Healing Bantul Pine Pine Forest,0,Neutral,
Sat Oct 07 14:41:05 +0000 2023,Heboh! Penyu Sisik Terdampar di Pantai Mlarangan Asri Kulonprogo Kondisi Terluka #beritajogja #jogja #jogjaistimewa https://t.co/2nFKA7DeTx https://t.co/9dmX49yI7o,https://pbs.twimg.com/media/F72CLBlbgAAhClO.jpg,in,"Yogyakarta, Indonesia",Harian_Jogja,heboh! penyu sisik terdampar di pantai mlarangan asri kulonprogo kondisi terluka #beritajogja #jogja #jogjaistimewa https://t.co/2nfka7detx https://t.co/9dmx49yi7o,heboh penyu sisik terdampar di pantai mlarangan asri kulonprogo kondisi terluka,mlarangan asri,-7.945711,110.142259,visit jogja,heboh penyu sisik terdampar di pantai mlarangan asri kulonprogo kondisi terluka,heboh penyu sisik terdampar pantai mlarangan asri kulonprogo kondisi terluka,"['heboh', 'penyu', 'sisik', 'terdampar', 'pantai', 'mlarangan', 'asri', 'kulonprogo', 'kondisi', 'terluka']",heboh penyu sisik dampar pantai mlarangan asri kulonprogo kondisi luka,Splashy Turtle Scales Dampar Mlarang Asri Kulonprogo Conditions Wound Conditions,0,Neutral,
Sat Apr 22 08:03:26 +0000 2023,Heha Forest Buka saat Lebaran di Jogja Tempat Wisata Baru yang Berbagai Sisinya Instagramable https://t.co/vU7UfHk2rt via @tribunnews,,in,"Jakarta, Indonesia",TRIBUNTravel,heha forest buka saat lebaran di jogja tempat wisata baru yang berbagai sisinya instagramable https://t.co/vu7ufhk2rt via @tribunnews,heha forest buka saat lebaran di jogja tempat wisata baru yang berbagai sisinya instagramable  via,heha forest,-7.626253,110.424458,visit jogja,heha forest buka saat lebaran di jogja tempat wisata baru yang berbagai sisinya instagramable  via,heha forest buka lebaran jogja tempat wisata baru berbagai sisinya instagramable  via,"['heha', 'forest', 'buka', 'lebaran', 'jogja', 'tempat', 'wisata', 'baru', 'berbagai', 'sisinya', 'instagramable', 'via']",heha forest buka lebaran jogja tempat wisata baru bagai sisi instagramable via,heha forest open Eid jogja new tourist attractions like the instagramable side via,0.6486,Positive,
